subj,shot,timestamp,x,y,duration,prev_sacc_amplitude,aoi_span,aoi_label,aoi_order,order
1,set_3,0.640733,912.072000,927.579600,0.032888,68.152785,0,dash,2,111
1,set_3,1.445739,1259.209846,515.285031,0.213536,538.972630,1,rear_view_mirror,3,112
1,set_3,1.987808,1268.699345,524.344418,0.180775,13.119569,0,rear_view_mirror,3,113
1,set_3,2.267118,971.692800,883.186200,0.016349,465.811456,-1,dash,2,114
1,set_3,2.299947,959.246400,879.627600,0.065849,12.945134,0,dash,2,115
1,set_3,2.447882,1004.568000,972.059400,0.032906,102.945059,0,dash,2,116
1,set_3,2.513525,945.388800,899.883000,0.016540,93.336008,0,dash,2,117
1,set_3,2.612087,1131.727418,893.581691,0.180852,186.445132,0,dash,2,118
1,set_3,2.858560,1224.699000,908.111925,0.262938,94.100174,0,dash,2,119
1,set_3,3.137826,1212.612000,966.567600,0.065735,59.692223,0,dash,2,120
1,set_3,3.220062,1263.012000,947.735100,0.065638,53.803560,0,dash,2,121
1,set_3,3.351325,1248.182400,874.886400,0.016545,74.342788,0,dash,2,122
1,set_3,3.597736,836.275200,917.773200,0.049345,414.133818,0,dash,2,123
1,set_3,3.696422,932.104800,970.934512,0.262891,109.587579,0,dash,2,124
1,set_3,3.975695,973.528000,935.383950,0.197129,54.586848,0,dash,2,125
1,set_3,4.255052,1165.449600,858.168000,0.032802,206.872433,0,dash,2,126
1,set_3,4.337075,1103.492267,932.466600,0.147863,96.741889,0,dash,2,127
1,set_3,4.534365,1201.183200,979.815150,0.065735,108.560599,0,dash,2,128
1,set_3,4.616413,1167.734400,992.682000,0.032879,35.838221,0,dash,2,129
1,set_3,4.665753,1223.487360,996.520320,0.082112,55.884929,0,dash,2,130
1,set_3,4.797174,1353.734400,874.503000,0.016318,178.472737,0,dash,2,131
1,set_3,4.928467,834.444800,1012.257000,0.049276,537.250271,0,dash,2,132
1,set_3,5.043512,831.820800,878.029200,0.016528,134.253446,0,dash,2,133
1,set_3,5.125660,861.731657,1025.485457,0.114984,150.459321,0,dash,2,134
1,set_3,5.306384,965.046109,971.514000,0.180678,116.562405,0,dash,2,135
1,set_3,5.552957,1065.336000,999.772200,0.032611,104.194952,0,dash,2,136
1,set_3,5.635076,1154.102400,897.245100,0.032769,135.614454,0,dash,2,137
1,set_3,5.700764,1050.878400,986.407200,0.032723,136.400419,0,dash,2,138
1,set_3,5.782759,1165.161600,1023.289200,0.016534,120.087184,0,dash,2,139
1,set_3,5.832108,1117.564800,955.670400,0.032881,82.690734,0,dash,2,140
1,set_3,5.914222,1179.600000,1020.924000,0.032885,90.035539,0,dash,2,141
1,set_3,5.963703,1154.779636,1000.380436,0.180665,32.219380,0,dash,2,142
1,set_3,6.193618,1067.399467,1017.746400,0.147707,89.089117,0,dash,2,143
1,set_3,6.423564,1168.046400,968.538600,0.032850,112.032195,0,dash,2,144
1,set_3,6.505820,1122.672000,1055.027700,0.032811,97.668831,0,dash,2,145
1,set_3,6.604255,1269.153600,1016.612100,0.098557,151.435192,0,dash,2,146
1,set_3,6.817743,861.010133,1021.012800,0.147900,408.167191,0,dash,2,147
1,set_3,7.064256,976.807200,972.621000,0.065761,125.501900,0,dash,2,148
1,set_3,7.146562,979.612800,974.484000,0.016379,3.367812,0,dash,2,149
1,set_3,7.277938,1273.814400,538.218000,0.016400,526.196355,1,rear_view_mirror,3,150
1,set_3,7.491506,1252.905600,578.156400,0.032858,45.080525,0,rear_view_mirror,3,151
1,set_3,7.557051,1269.223680,484.639200,0.082195,94.930219,0,rear_view_mirror,3,152
1,set_4,0.180298,946.608000,431.238600,0.016411,0.000000,0,street_signs,5,153
1,set_4,0.377492,958.512000,705.512700,0.032851,274.532306,-3,car,2,154
1,set_4,0.525339,911.183127,621.310745,0.180833,96.591880,0,car,2,155
1,set_4,1.083978,783.172800,587.541600,0.065688,132.389573,-1,crosswalk,1,156
1,set_4,1.231830,927.507200,611.688600,0.098570,146.340345,1,car,2,157
1,set_4,1.412565,939.326400,691.140600,0.032731,80.326296,0,car,2,158
1,set_4,1.527542,900.780800,573.467400,0.049289,123.825463,-1,crosswalk,1,159
1,set_4,1.642603,968.214400,663.570000,0.049259,112.542298,1,car,2,160
1,set_4,1.773957,1089.301867,637.575300,0.295678,123.846272,0,car,2,161
1,set_4,2.118977,1052.460000,595.822500,0.065656,55.683206,0,car,2,162
1,set_4,2.431096,1085.123657,499.150543,0.115035,102.041079,3,street_signs,5,163
1,set_4,2.562529,1017.904800,509.043150,0.065778,67.942906,0,street_signs,5,164
1,set_4,2.644604,1050.644800,473.662800,0.197138,48.204531,0,street_signs,5,165
1,set_4,2.874549,1034.309333,508.083600,0.148004,38.100380,0,street_signs,5,166
1,set_4,3.055322,1025.284800,464.308200,0.032806,44.695949,0,street_signs,5,167
1,set_4,3.285309,799.411200,544.093200,0.032943,239.550682,-4,crosswalk,1,168
1,set_4,3.351126,806.712000,619.407000,0.065673,75.666837,0,crosswalk,1,169
1,set_4,3.449756,820.151314,598.768200,0.459975,24.628748,0,crosswalk,1,170
1,set_4,3.926173,824.736000,605.788200,0.032853,8.384494,0,crosswalk,1,171
1,set_4,4.550465,655.782400,650.473200,0.049072,174.762891,0,crosswalk,1,172
1,set_4,4.632505,649.929600,582.225300,0.131399,68.498402,0,crosswalk,1,173
1,set_4,4.780358,640.080000,595.225800,0.016475,16.310353,0,crosswalk,1,174
1,set_4,5.010215,1161.525600,557.802000,0.197421,522.786816,3,pedestrian,4,175
1,set_4,5.240395,1230.729600,574.117200,0.032856,71.101191,0,pedestrian,4,176
1,set_4,5.289712,1156.982400,521.056800,0.016420,90.851833,0,pedestrian,4,177
1,set_4,5.437517,1280.121600,578.232000,0.032838,135.765482,0,pedestrian,4,178
1,set_4,5.634628,1247.107200,600.210000,0.065708,39.660851,0,pedestrian,4,179
1,set_4,5.766112,1223.654400,526.311000,0.032859,77.531258,0,pedestrian,4,180
1,set_4,5.815407,1183.707600,519.413175,0.131420,40.537968,0,pedestrian,4,181
1,set_4,6.127472,1200.398400,618.205500,0.032915,100.192346,0,pedestrian,4,182
1,set_4,6.258870,1089.877527,918.658800,0.180747,320.135985,-1,dash,3,183
1,set_4,6.603824,1110.348800,957.825900,0.098658,44.194284,0,dash,3,184
1,set_4,6.751862,1025.606400,948.603600,0.049291,85.242743,0,dash,3,185
1,set_4,6.834052,1038.796800,891.202500,0.032804,58.897139,0,dash,3,186
1,set_4,6.948912,911.683200,941.222700,0.032968,136.601200,0,dash,3,187
1,set_4,6.998232,893.213867,898.833600,0.147732,46.237994,0,dash,3,188
1,set_4,7.359756,966.946800,978.062175,0.131385,108.229906,0,dash,3,189
1,set_4,7.540415,1048.464600,933.121350,0.262771,93.085066,0,dash,3,190
1,set_4,7.819634,1062.528000,907.972200,0.049242,28.814215,0,dash,3,191
1,set_4,7.901713,1057.579200,1013.696100,0.032992,105.839660,0,dash,3,192
1,set_4,8.033139,1152.551314,940.060543,0.115071,120.174447,0,dash,3,193
1,set_4,8.230424,1294.300800,969.551100,0.032932,144.784701,0,dash,3,194
1,set_4,8.279709,1279.416000,918.481950,0.131370,53.194129,0,dash,3,195
1,set_4,8.443961,1344.571200,892.063800,0.032779,70.307316,0,dash,3,196
1,set_4,8.509709,1352.867200,965.593800,0.049299,73.996517,0,dash,3,197
1,set_4,8.624749,1232.145600,960.006600,0.032716,120.850823,0,dash,3,198
1,set_4,8.723357,1342.627200,903.841200,0.016342,123.938437,0,dash,3,199
1,set_4,8.805406,1263.657600,973.630800,0.016451,105.388738,0,dash,3,200
1,set_4,8.871110,1203.676800,881.393400,0.016474,110.024699,0,dash,3,201
1,set_4,8.920483,1203.344914,960.488743,0.114878,79.096039,0,dash,3,202
1,set_4,9.199689,895.852800,998.462160,0.082090,309.827986,0,dash,3,203
1,set_4,9.314713,841.904000,1027.370520,0.246417,61.205934,0,dash,3,204
1,set_4,9.659584,1028.563200,1031.275800,0.016571,186.700049,0,dash,3,205
1,set_4,9.692608,1006.710400,1035.012600,0.098558,22.169992,0,dash,3,206
1,set_4,9.823979,982.641600,999.612900,0.098489,42.807078,0,dash,3,207
1,set_4,9.938999,957.523200,1005.552900,0.032710,25.811192,0,dash,3,208
1,set_4,10.004734,1001.692800,1036.186200,0.049160,53.752699,0,dash,3,209
1,set_4,10.136130,1089.168000,989.231400,0.032831,99.280733,0,dash,3,210
1,set_4,10.201815,1097.637600,933.168600,0.065771,56.698956,0,dash,3,211
1,set_4,10.283962,1092.169600,986.000400,0.049270,53.114011,0,dash,3,212
1,set_4,10.398818,1210.473600,956.736900,0.098702,121.869557,0,dash,3,213
1,set_4,10.546892,1293.033600,922.806000,0.016318,89.260627,0,dash,3,214
1,set_4,10.645382,1228.147200,1049.916600,0.016478,142.714223,0,dash,3,215
1,set_4,10.727587,1267.276800,945.691200,0.016409,111.328611,0,dash,3,216
1,set_4,10.924690,896.995200,962.973000,0.049328,370.684669,0,dash,3,217
1,set_4,10.990353,861.340800,1000.575720,0.082206,51.818923,0,dash,3,218
1,set_4,11.154689,986.832000,982.986840,0.082055,126.717836,0,dash,3,219
1,set_4,11.269605,1028.156160,992.943360,0.082157,42.506688,0,dash,3,220
1,set_4,11.417544,1103.263754,972.985708,0.213634,77.713953,0,dash,3,221
1,set_4,11.663888,1151.673600,1010.010600,0.032884,60.945515,0,dash,3,222
1,set_4,11.729687,1099.814400,972.893700,0.032922,63.773356,0,dash,3,223
1,set_4,11.811906,1212.076800,1016.450100,0.032853,120.415973,0,dash,3,224
1,set_4,11.877594,1247.145600,974.163600,0.098588,54.936043,0,dash,3,225
1,set_4,12.173222,879.868800,1008.622800,0.016441,368.889800,0,dash,3,226
1,set_4,12.206159,911.029760,1060.453800,0.246332,60.476921,0,dash,3,227
1,set_4,12.501838,847.235200,996.780600,0.049318,90.133358,0,dash,3,228
1,set_4,12.633267,1045.126400,969.571800,0.049308,199.752962,0,dash,3,229
1,set_4,12.731908,1052.701440,1047.627000,0.082061,78.421907,0,dash,3,230
1,set_4,12.896153,1228.420800,979.574400,0.098629,188.436859,0,dash,3,231
1,set_4,13.109667,1081.953600,1049.970600,0.032864,162.506202,0,dash,3,232
1,set_4,13.257532,1007.712000,571.374000,0.016403,484.320680,-1,car,2,233
1,set_4,13.290406,1032.727855,568.897855,0.180702,25.138104,0,car,2,234
1,set_4,13.586205,1056.144000,594.723600,0.016326,34.860938,0,car,2,235
1,set_4,13.618985,968.131200,631.238400,0.032944,95.286849,0,car,2,236
1,set_4,13.684688,1029.584640,573.059880,0.082072,84.624261,0,car,2,237
1,set_4,13.799694,1017.724800,604.278692,0.213555,33.395659,0,car,2,238
1,set_4,14.062551,999.604114,649.243543,0.115014,48.478831,0,car,2,239
1,set_4,14.259712,1015.622400,637.362000,0.032770,19.943835,0,car,2,240
1,set_4,14.539071,1015.708800,588.999600,0.016250,48.362477,0,car,2,241
1,set_4,14.801797,1137.811840,428.014440,0.246451,202.052899,3,street_signs,5,242
1,set_4,15.196164,1118.092800,414.082800,0.016429,24.143967,0,street_signs,5,243
1,set_4,15.853287,777.028800,557.562150,0.065757,370.014832,-4,crosswalk,1,244
1,set_4,15.951888,753.723600,605.245500,0.131461,53.073856,0,crosswalk,1,245
1,set_4,16.099631,739.090560,550.441440,0.082153,56.723988,0,crosswalk,1,246
1,set_4,16.231167,785.817600,607.429800,0.032809,73.695926,0,crosswalk,1,247
1,set_4,16.296809,798.048000,523.950600,0.147959,84.370371,0,crosswalk,1,248
1,set_4,16.477618,752.718933,543.114000,0.147869,49.213415,0,crosswalk,1,249
1,set_4,16.641912,797.525760,583.922520,0.082054,60.605173,0,crosswalk,1,250
1,set_4,16.740435,789.573600,559.934100,0.131379,25.272142,0,crosswalk,1,251
1,set_4,16.904685,787.478400,529.459200,0.016496,30.546839,0,crosswalk,1,252
1,set_4,16.986695,843.360000,625.279500,0.033022,110.924673,0,crosswalk,1,253
1,set_4,17.052591,809.011200,583.515900,0.032692,54.074378,0,crosswalk,1,254
1,set_4,18.087464,919.987200,710.704800,0.016625,168.797775,1,car,2,255
1,set_4,18.169590,946.099200,883.364400,0.016512,174.622948,1,dash,3,256
1,set_4,18.514784,1163.980800,892.182600,0.016275,218.059974,0,dash,3,257
1,set_4,18.728373,1263.370560,576.281520,0.164121,331.167355,1,pedestrian,4,258
1,set_4,19.106174,1269.866400,536.484600,0.065712,40.323576,0,pedestrian,4,259
1,set_4,19.319710,1299.004800,573.863400,0.016510,47.394314,0,pedestrian,4,260
1,set_4,19.451143,1223.136873,625.195309,0.180679,91.601896,0,pedestrian,4,261
1,set_4,19.648253,1220.054400,641.909571,0.115011,16.996123,0,pedestrian,4,262
1,set_4,19.894763,1331.433600,537.286500,0.032798,152.811365,0,pedestrian,4,263
1,set_4,20.387493,946.843200,587.078100,0.098580,387.800179,-2,car,2,264
1,set_4,20.551867,931.632000,717.400800,0.016416,131.207419,0,car,2,265
1,set_4,20.617615,1002.480000,630.174600,0.032828,112.373703,0,car,2,266
1,set_4,20.781846,947.657600,588.789000,0.049328,68.689617,0,car,2,267
1,set_4,20.847621,920.519040,561.402360,0.082079,38.555538,0,car,2,268
1,set_4,20.946114,906.038400,574.349400,0.016480,19.424592,-1,crosswalk,1,269
1,set_4,21.028270,1034.719200,600.996375,0.131548,131.410843,1,car,2,270
1,set_4,21.176241,991.062720,622.587600,0.164181,48.703894,0,car,2,271
1,set_4,21.488386,1006.080000,716.214960,0.081961,94.824054,0,car,2,272
1,set_4,21.636085,970.452000,595.464750,0.065848,125.896654,0,car,2,273
1,set_4,21.734761,996.604800,600.588000,0.016456,26.649890,0,car,2,274
1,set_4,21.833323,891.205440,556.251300,0.164305,114.344952,-1,crosswalk,1,275
1,set_4,22.178408,879.062400,566.673300,0.032685,16.002234,0,crosswalk,1,276
1,set_4,22.359064,867.232000,605.198400,0.147778,40.300641,0,crosswalk,1,277
1,set_4,22.621784,839.019600,539.669250,0.131583,71.344299,0,crosswalk,1,278
1,set_4,22.786187,855.964800,579.714600,0.147880,43.482984,0,crosswalk,1,279
1,set_4,22.950338,831.087360,609.447240,0.082256,38.767472,0,crosswalk,1,280
1,set_4,23.410424,812.188800,613.377900,0.032968,19.302996,0,crosswalk,1,281
1,set_4,23.607660,682.438892,613.817585,0.213484,129.750653,0,crosswalk,1,282
1,set_4,23.854040,694.310400,569.697300,0.032713,45.689520,0,crosswalk,1,283
1,set_4,23.919762,676.721829,599.160086,0.115004,34.313461,0,crosswalk,1,284
1,set_4,24.051142,642.206400,607.089600,0.032895,35.414573,0,crosswalk,1,285
1,set_4,24.116870,633.504000,526.672800,0.016491,80.886300,0,crosswalk,1,286
1,set_4,24.691779,1020.225600,478.503450,0.065897,389.709998,4,street_signs,5,287
