subj,shot,timestamp,K
1,set_4,2.414609,1.227915
1,set_4,2.562529,0.484075
1,set_4,2.644604,1.988786
1,set_4,2.874549,1.435637
1,set_4,3.055322,-0.194472
1,set_4,3.121041,-0.997075
1,set_4,3.285309,-0.128652
1,set_4,3.351126,6.338070
1,set_4,3.926173,-0.955553
1,set_4,4.024600,0.357491
1,set_4,4.073906,1.435120
1,set_4,4.353211,-1.330006
1,set_4,4.550465,-0.063095
1,set_4,4.632505,1.533104
1,set_4,4.780358,-2.970252
1,set_4,4.911803,0.631208
1,set_4,5.010215,2.234217
1,set_4,5.240395,0.622427
1,set_4,5.355280,-0.758460
1,set_4,5.552587,-1.098541
1,set_4,5.634628,-0.094183
1,set_4,5.749588,1.974500
1,set_4,5.979681,-0.315109
1,set_4,6.127472,-2.855163
1,set_4,6.258870,1.399553
1,set_4,6.456136,-0.384425
1,set_4,6.603824,0.649697
1,set_4,6.751862,0.629901
1,set_4,6.948912,0.076299
1,set_4,6.998232,0.748411
1,set_4,7.359756,0.908020
1,set_4,7.523993,2.983236
1,set_4,7.819634,-0.540357
1,set_4,7.901713,-0.574510
1,set_4,8.016905,1.006389
1,set_4,8.230424,1.741868
1,set_4,8.443961,-0.306394
1,set_4,8.509709,0.147721
1,set_4,8.624749,-0.440002
1,set_4,8.723357,-0.650628
1,set_4,8.789004,-0.511001
1,set_4,8.854749,-0.337090
1,set_4,8.920483,-0.786092
1,set_4,9.183352,0.860996
1,set_4,9.314713,1.630074
1,set_4,9.659584,0.290715
1,set_4,9.692608,0.868854
1,set_4,9.823979,1.157024
1,set_4,9.938999,0.317939
1,set_4,9.988162,-0.071999
1,set_4,10.136130,1.585630
1,set_4,10.398818,0.659669
1,set_4,10.546892,-0.756450
1,set_4,10.628837,-0.443048
1,set_4,10.727587,-2.629648
1,set_4,10.842577,-1.049125
1,set_4,10.924690,0.268791
1,set_4,10.990353,0.234558
1,set_4,11.154689,1.037497
1,set_4,11.269605,0.593950
1,set_4,11.401158,2.398155
1,set_4,11.663888,0.029755
1,set_4,11.729687,-0.347467
1,set_4,11.811906,0.036414
1,set_4,11.877594,-1.326525
1,set_4,12.173222,-0.245749
1,set_4,12.206159,2.220977
1,set_4,12.501838,-0.652547
1,set_4,12.633267,-0.186507
1,set_4,12.731908,-0.362878
1,set_4,12.896153,-0.032301
1,set_4,13.109667,-5.515276
1,set_4,13.257532,0.380466
1,set_4,13.290406,4.145604
1,set_4,13.684688,0.792018
1,set_4,13.783242,2.177289
1,set_4,14.062551,0.082551
1,set_4,14.210277,-0.665825
1,set_4,14.259712,-0.880791
1,set_4,14.325324,1.361314
1,set_4,14.539071,-3.168062
1,set_4,14.654038,0.420105
1,set_4,14.768998,-0.268506
1,set_4,14.801797,1.931823
1,set_4,15.114066,-0.057377
1,set_4,15.196164,-3.005547
1,set_4,15.343949,4.430248
1,set_4,15.754698,-1.818368
1,set_4,15.853287,0.888282
1,set_4,15.951888,2.378689
1,set_4,16.231167,-0.438940
1,set_4,16.296809,1.487273
1,set_4,16.477618,1.470916
1,set_4,16.641912,2.292426
1,set_4,16.904685,-0.836417
1,set_4,16.986695,0.046521
1,set_4,17.052591,-1.632471
1,set_4,17.183996,1.827223
1,set_4,17.430457,-0.687700
1,set_4,17.496176,0.585753
1,set_4,17.644010,1.205634
1,set_4,17.873847,-0.347064
1,set_4,17.989039,0.788785
1,set_4,18.071162,-1.114549
1,set_4,18.169590,-1.171312
1,set_4,18.301238,-0.146840
1,set_4,18.514784,-5.258272
1,set_4,18.662615,-1.710057
1,set_4,18.728373,0.198724
1,set_4,18.958366,-0.139545
1,set_4,19.089622,-0.514312
1,set_4,19.254094,-0.749273
1,set_4,19.319710,-0.454218
1,set_4,19.418314,2.459168
1,set_4,19.648253,0.044157
1,set_4,19.878293,-1.318136
1,set_4,20.009716,-0.665370
1,set_4,20.075224,0.221108
1,set_4,20.157563,-3.125231
1,set_4,20.387493,-0.317452
1,set_4,20.551867,-0.773994
1,set_4,20.617615,-0.235026
1,set_4,20.699714,-0.384111
1,set_4,20.781846,1.710440
1,set_4,20.946114,-0.438006
1,set_4,21.028270,2.756694
1,set_4,21.389719,-1.780741
1,set_4,21.488386,-0.394669
1,set_4,21.636085,0.795983
1,set_4,21.734761,-0.493669
1,set_4,21.833323,1.172239
1,set_4,22.046811,0.526570
1,set_4,22.178408,-0.539535
1,set_4,22.276797,0.155476
1,set_4,22.359064,1.084904
1,set_4,22.523317,-1.012462
1,set_4,22.621784,1.071525
1,set_4,22.769675,-0.175514
1,set_4,23.131242,0.933703
1,set_4,23.262618,-2.352053
1,set_4,23.410424,-0.282845
1,set_4,23.607660,3.198332
1,set_4,23.919762,1.074963
1,set_4,24.116870,-2.377319
1,set_4,24.297522,-2.547134
1,set_4,24.461937,-2.228308
1,set_4,24.609689,0.375519
1,set_4,24.691779,0.247355
1,set_4,24.839763,2.563988
1,set_4,25.234064,1.606665
1,set_4,25.381845,0.598575
1,set_4,25.628290,-1.630766
1,set_4,25.776192,-0.193276
1,set_4,25.841803,-0.332298
1,set_4,25.923938,-0.426587
1,set_4,26.121020,-1.079154
1,set_4,26.186832,-3.261783
1,set_4,26.416799,0.232099
1,set_4,26.466078,0.675809
1,set_4,26.597644,0.535309
1,set_4,26.663399,2.521582
1,set_4,26.975311,0.309403
1,set_4,27.057700,0.619662
1,set_4,27.205398,0.196441
1,set_4,27.336992,-0.220252
1,set_4,27.435471,-4.764995
1,set_4,27.665351,2.908136
1,set_4,27.961171,0.245363
1,set_4,28.092524,-0.502983
1,set_4,28.191114,-0.554670
1,set_4,28.404615,-0.717507
1,set_4,28.486762,-1.485743
1,set_4,28.667639,-1.099850
1,set_4,28.733268,0.973421
1,set_4,28.831872,0.074669
1,set_4,29.012546,-0.830029
1,set_4,29.094744,-0.240401
1,set_4,29.160474,-0.380814
1,set_4,29.258981,4.824628
1,set_4,29.899748,2.434756
1,set_4,30.343455,0.395121
1,set_4,30.392635,1.020918
